APP6A;MIL2525C;CoT
SFG-USS3T-;SFG-USS3T-;a-f-g-u-s-s-3-t
SFG-USS3C-;SFG-USS3C-;a-f-g-u-s-s-3-c
SFG-USS3A-;SFG-USS3A-;a-f-g-u-s-s-3-a
SFG-USS3AT;SFG-USS3AT;a-f-g-u-s-s-3-a-t
SFG-USS3AC;SFG-USS3AC;a-f-g-u-s-s-3-a-c
SFG-USS4--;SFG-USS4--;a-f-g-u-s-s-4
SFG-USS4T-;SFG-USS4T-;a-f-g-u-s-s-4-t
SFG-USS4C-;SFG-USS4C-;a-f-g-u-s-s-4-c
SFG-USS5--;SFG-USS5--;a-f-g-u-s-s-5
SFG-USS5T-;SFG-USS5T-;a-f-g-u-s-s-5-t
SFG-USS5C-;SFG-USS5C-;a-f-g-u-s-s-5-c
SFG-USS6--;SFG-USS6--;a-f-g-u-s-s-6
SFG-USS6T-;SFG-USS6T-;a-f-g-u-s-s-6-t
SFG-USS6C-;SFG-USS6C-;a-f-g-u-s-s-6-c
SFG-USS7--;SFG-USS7--;a-f-g-u-s-s-7
SFG-USS7T-;SFG-USS7T-;a-f-g-u-s-s-7-t
SFG-USS7C-;SFG-USS7C-;a-f-g-u-s-s-7-c
SFG-USS8--;SFG-USS8--;a-f-g-u-s-s-8
SFG-USS8T-;SFG-USS8T-;a-f-g-u-s-s-8-t
SFG-USS8C-;SFG-USS8C-;a-f-g-u-s-s-8-c
SFG-USS9--;SFG-USS9--;a-f-g-u-s-s-9
SFG-USS9T-;SFG-USS9T-;a-f-g-u-s-s-9-t
SFG-USS9C-;SFG-USS9C-;a-f-g-u-s-s-9-c
SFG-USSX--;SFG-USSX--;a-f-g-u-s-s-x
SFG-USSXT-;SFG-USSXT-;a-f-g-u-s-s-x-t
SFG-USSXC-;SFG-USSXC-;a-f-g-u-s-s-x-c
